Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes
Tonk Road,Black Hole Restaurant,"S-2, Durgapura, Near Agriculture Farm, Tonk Road, Jaipur",['Quick Bites'],₹800,"['North Indian', 'Fast Food', 'Chinese', 'Continental']",3.3,17
Tonk Road,Wrapizzzaa,"20, Natraj Nagar, Imli Phatak, Tonk Road, Jaipur",['Quick Bites'],₹500,['Fast Food'],3.4,17
Tonk Road,Hotty Tasty Cafe & restro,"Plot 66, Shyopur Road, Jagganath Puri, Pratap Nagar, Tonk Road, Jaipur",['Casual Dining'],₹500,"['North Indian', 'South Indian', 'Fast Food', 'Beverages', 'Chinese']",2.9,13
Tonk Road,Chokhaa Dhaba,"12 Miles Opposite Choki Dhani, Tonk Road, Jaipur",['Casual Dining'],₹400,"['North Indian', 'Desserts']",3.0,21
Tonk Road,Bandhani - Pride Amber Vilas,"Pride Amber Vilas, 12 Mile, Vatika Mod, Tonk Road, Jaipur",['Fine Dining'],"₹1,800","['North Indian', 'Chinese', 'Continental']",3.3,16
Tonk Road,Gumanji Misthan Bhandar,"E-21, Friends Colony, Imli Wala Phatak, Near Sethi Hospital, Tonk Road, Jaipur",['Sweet Shop'],₹200,"['Mithai', 'Street Food']",3.1,9
Tonk Road,Krazy Noodles,"B4, Neelanchal, 2nd Shyopur Road, Sector 6, Pratap Nagar, Tonk Road, Jaipur",[],₹150,['Fast Food'],2.8,17
Tonk Road,Rajasthani Veg Restaurant,Delivery Only,[],₹250,"['North Indian', 'Fast Food']",3.2,16
Tonk Road,Panchhi Petha Store,"16 B, Vinayak Vihar, Dalda Factory Road, Durgapura, Near Tonk Road, Jaipur",['Sweet Shop'],₹200,"['Mithai', 'Street Food']",3.2,11
Tonk Road,Blue Pluto,"Entertainment Paradise, Near Jawahar Circle, Tonk Road, Jaipur",['Casual Dining'],₹700,"['North Indian', 'Chinese', 'Italian']",3.3,19
Tonk Road,The Clove,"Hotel Grand Maple, F-282-282, EPIP, Sitapura, Tonk Road, Jaipur",['Casual Dining'],"₹1,500","['North Indian', 'Continental', 'Chinese', 'Fast Food']",3.3,7
Tonk Road,Urban Wala Tadka,"Shop 12, Maruti Nagar, Sheopur Road, Pratap Nagar, Jaipur",['Quick Bites'],₹300,"['Fast Food', 'North Indian']",2.9,13
