Neighborhood,Pincode,latitude,longitude
Govind Nagar,302002 ,26.942590714000062,75.83860000000004
Govindgarh,303712 ,27.260384574000057,75.65916812000006
Govindpura Baseri,303803 ,27.32980500000008,75.68703652500005
Gudha Bersal,303338 ,26.879625000000033,75.29119745300005
Gudhaliya,303602 ,27.24932000000007,75.44234680800008
Gulab Bari,303806 ,27.215539957000033,75.83599500000008
Habaspura,303604 ,26.98643383800004,75.26827500000007
Hadota,303702 ,27.188375000000065,75.75583502400008
Haldiyon Ka rasta,302003 ,26.91063500000007,75.84966227600006
Hanutia,303601 ,27.370295000000056,75.83041412800003
Hanutpura,303601 ,27.370295000000056,75.83041412800003
Harmada,302032 ,26.925730000000044,75.80659000000003
Harsoli,303603 ,27.149745000000053,75.40720517100004
Harsulia,303904 ,26.67402500000003,75.68053438900006
Hasteda,303712 ,27.260384574000057,75.65916812000006
Hathnoda,303807 ,27.229930000000024,75.76533998000008
Hathod,303706 ,26.993295000000046,75.57476113400008
Heerapura,302024 ,26.88265000000007,75.72597835600004
Hemlyawala,303302 ,26.744920000000036,76.14260933500003
High Court,302005 ,26.89951074700008,75.79193500000008
Hingonia,303328 ,27.018355000000042,75.43840400000005
Hirnoda,303338 ,26.879625000000033,75.29119745300005
Indergarh,302027 ,26.97820500000006,75.97575804100006
Indra Bazar,302001 ,26.930038198008976,75.80509179210249
Industrial Estate,302006 ,26.91469472400007,75.77727000000004
Itawa,303602 ,27.24932000000007,75.44234680800008
Jagatpura,302025 ,26.925730000000044,75.80659000000003
Jahota,303701 ,27.08825500000006,75.63969125000006
Jaichandpura,303120 ,27.18865535200007,76.05820000000006
Jaipur City,302003 ,26.91063500000007,75.84966227600006
Jaipur R.s.,302006 ,26.91469472400007,75.77727000000004
Jaipur.,302001 ,26.930038198008976,75.80509179210249
Jairampura,303701 ,27.08825500000006,75.63969125000006
Jaisingh Pura khor,302027 ,26.97820500000006,75.97575804100006
Jaisinghpura,303801 ,27.206260000000043,75.57590294600004
Jaisinghpura Bas,302026 ,26.843485000000044,75.64410060200004
Jaitpura I a,303704 ,27.11987238900008,75.76623500000005
Jaitpura Khinchi,303002 ,27.141260000000045,75.94937599000008
Jaje Kalan,303103 ,27.398385000000076,76.02488576700006
Jalsu,303701 ,27.08825500000006,75.63969125000006
Jamwaramgarh,303109 ,27.03284375900006,76.08377500000006
Janta Colony,302004 ,26.887956048000035,75.83186000000006
Jatanwali,303806 ,27.215539957000033,75.83599500000008
Jatwara,303305 ,26.831415462000052,76.18516500000004
Jawahar Nagar,302004 ,26.887956048000035,75.83186000000006
Jawanpura,303119 ,27.451433234000035,76.07370500000007
Jeetawal,303012 ,26.90840608800005,75.96652500000005
Jhag,303009 ,26.678590000000042,75.38565875900008
Jhajwar,303305 ,26.831415462000052,76.18516500000004
Jhalana Doongri,302004 ,26.887956048000035,75.83186000000006
Jhapda Kalan,303908 ,26.635280000000023,76.10363785000004
Jhar,303305 ,26.831415462000052,76.18516500000004
Jhardla,303006 ,26.535750000000064,75.67594170400008
Jhotwara,302012 ,26.960270000000037,75.66582122300008
Jhotwara Industrial area,302012 ,26.960270000000037,75.66582122300008
Jobner,303328 ,27.018355000000042,75.43840400000005
Jodhpura,303107 ,27.656615000000045,76.05954869400006
Jodhula,303003 ,27.36365500000005,76.15123780600004
Jorpura,303328 ,27.018355000000042,75.43840400000005
Jorpura Sundariawas,303328 ,27.018355000000042,75.43840400000005
Kacholiya,303301 ,26.833198665000054,76.04988500000007
Kachroda,303338 ,26.879625000000033,75.29119745300005
Kadera,303901 ,26.58943000000005,75.90438374400003
Kaladera,303801 ,27.206260000000043,75.57590294600004
Kalakh,303328 ,27.018355000000042,75.43840400000005
Kali Pahadi,303002 ,27.141260000000045,75.94937599000008
Kalwad,303706 ,26.993295000000046,75.57476113400008
Kalwara,302029 ,26.785010000000057,75.65884962700005
Kalyanpura,303108 ,27.77030459200006,76.19953000000004
Kalyanpura Kalan,303105 ,27.74574989900003,76.08626000000004
Kanarpura,303801 ,27.206260000000043,75.57590294600004
Kanipura,303701 ,27.08825500000006,75.63969125000006
Kanota,303012 ,26.90840608800005,75.96652500000005
Kansel,303009 ,26.678590000000042,75.38565875900008
Kansli,303108 ,27.77030459200006,76.19953000000004
Kant,303103 ,27.398385000000076,76.02488576700006
Kanwarpura,303120 ,27.18865535200007,76.05820000000006
Karansar,303603 ,27.149745000000053,75.40720517100004
Kareda Khurd,303901 ,26.58943000000005,75.90438374400003
Kariri,303803 ,27.32980500000008,75.68703652500005
